"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年4月16日","16.662","16.662","16.662","16.662","0.12K","0.22%"
"2018年4月15日","16.625","16.660","16.670","16.565","-","-0.02%"
"2018年4月13日","16.628","16.628","16.628","16.628","-","1.13%"
"2018年4月12日","16.443","16.615","16.615","16.600","0.00K","-1.76%"
"2018年4月11日","16.738","16.738","16.738","16.738","-","1.04%"
"2018年4月10日","16.566","16.410","16.565","16.410","0.01K","-2.90%"
"2018年4月9日","17.061","17.065","17.065","17.065","0.03K","4.13%"
"2018年4月8日","16.385","16.390","16.405","16.375","-","-3.10%"
"2018年4月6日","16.910","16.880","16.880","16.880","0.01K","3.62%"
"2018年4月5日","16.320","16.200","16.305","16.190","0.01K","-2.92%"
"2018年4月4日","16.811","16.930","16.930","16.880","0.01K","2.84%"
"2018年4月3日","16.347","16.347","16.347","16.347","-","-5.21%"
"2018年4月2日","17.245","16.940","17.010","16.940","0.01K","5.31%"
"2018年4月1日","16.375","16.335","16.395","16.325","-","0.94%"
"2018年3月29日","16.223","16.250","16.250","16.210","0.04K","0.11%"
"2018年3月28日","16.205","16.450","16.450","16.195","0.08K","-1.72%"
"2018年3月27日","16.489","16.505","16.505","16.505","0.00K","-4.54%"
"2018年3月26日","17.274","17.150","17.150","17.150","0.00K","3.97%"
"2018年3月25日","16.615","16.560","16.655","16.560","-","-3.23%"
"2018年3月23日","17.169","17.160","17.210","17.155","0.01K","5.15%"
"2018年3月22日","16.328","16.490","16.505","16.490","0.00K","-0.18%"
"2018年3月21日","16.357","16.385","16.530","16.385","0.08K","-2.43%"
"2018年3月20日","16.764","16.730","16.765","16.730","0.04K","3.13%"
"2018年3月19日","16.255","16.165","16.260","16.165","0.14K","-0.28%"
"2018年3月18日","16.300","16.315","16.335","16.280","-","-3.22%"
"2018年3月16日","16.843","16.840","16.840","16.840","0.00K","-0.87%"
"2018年3月15日","16.991","17.010","17.010","17.010","0.00K","-0.71%"
"2018年3月14日","17.112","17.110","17.110","17.110","0.03K","-0.55%"
"2018年3月13日","17.206","17.115","17.115","17.115","0.01K","4.46%"
"2018年3月12日","16.471","16.565","16.565","16.390","0.05K","-0.90%"
"2018年3月11日","16.620","16.590","16.635","16.590","-","-3.30%"
"2018年3月9日","17.187","17.230","17.230","17.230","0.00K","4.57%"
"2018年3月8日","16.436","16.440","16.465","16.375","0.07K","0.05%"
"2018年3月7日","16.428","16.640","16.640","16.400","0.03K","-1.72%"
"2018年3月6日","16.715","16.370","16.810","16.370","0.34K","-1.55%"
"2018年3月5日","16.979","17.155","17.165","17.080","0.03K","2.69%"
"2018年3月4日","16.535","16.540","16.560","16.505","-","0.87%"
"2018年3月2日","16.392","16.390","16.495","16.360","0.08K","1.19%"
"2018年3月1日","16.200","16.350","16.465","16.090","0.56K","-0.76%"
"2018年2月28日","16.324","16.335","16.430","16.300","1.02K","-0.13%"
"2018年2月27日","16.346","16.610","16.650","16.260","23.90K","-1.18%"
"2018年2月26日","16.542","16.542","16.542","16.542","-","0.56%"
"2018年2月25日","16.450","16.455","16.480","16.445","-","-0.16%"
"2018年2月23日","16.476","16.550","16.555","16.550","0.02K","-0.62%"
"2018年2月22日","16.579","16.570","16.570","16.570","0.02K","-0.15%"
"2018年2月21日","16.604","16.604","16.604","16.604","-","1.09%"
"2018年2月20日","16.425","16.425","16.425","16.425","0.03K","-1.11%"
"2018年2月19日","16.610","16.600","16.690","16.570","-","0.03%"
"2018年2月18日","16.605","16.600","16.645","16.595","-","-0.54%"
"2018年2月16日","16.695","16.695","16.695","16.695","0.00K","-0.49%"
"2018年2月15日","16.777","16.777","16.777","16.777","0.02K","-0.48%"
"2018年2月14日","16.858","16.858","16.858","16.858","0.20K","2.13%"
"2018年2月13日","16.507","16.507","16.507","16.507","0.00K","-0.25%"
"2018年2月12日","16.548","16.375","16.375","16.345","0.00K","1.40%"
"2018年2月11日","16.320","16.295","16.325","16.280","-","1.27%"
"2018年2月9日","16.116","16.116","16.116","16.116","0.02K","-1.21%"
"2018年2月8日","16.314","16.314","16.314","16.314","0.01K","0.67%"
"2018年2月7日","16.206","16.630","16.630","16.630","0.00K","-2.07%"
"2018年2月6日","16.548","16.705","16.705","16.540","0.21K","-0.55%"
"2018年2月5日","16.639","16.639","16.639","16.639","0.01K","0.27%"
"2018年2月4日","16.595","16.555","16.625","16.515","-","-0.49%"
"2018年2月2日","16.676","16.676","16.676","16.676","0.00K","-2.58%"
"2018年2月1日","17.118","17.118","17.118","17.118","-","-0.50%"
"2018年1月31日","17.204","17.175","17.210","17.175","0.02K","1.12%"
"2018年1月30日","17.013","17.055","17.185","17.025","0.02K","-0.32%"
"2018年1月29日","17.068","17.068","17.068","17.068","0.02K","-1.96%"
"2018年1月28日","17.410","17.420","17.440","17.365","-","0.16%"
"2018年1月26日","17.382","17.382","17.382","17.382","0.00K","-4.72%"
"2018年1月25日","18.244","18.300","18.300","18.300","0.03K","4.70%"
"2018年1月24日","17.425","17.425","17.425","17.425","0.00K","-0.61%"
"2018年1月23日","17.532","17.480","17.480","17.480","0.00K","3.55%"
"2018年1月22日","16.931","16.985","16.985","16.985","0.00K","-0.87%"
"2018年1月21日","17.080","17.060","17.100","17.040","-","0.62%"
"2018年1月19日","16.975","16.935","16.990","16.935","0.04K","0.49%"
"2018年1月18日","16.893","17.000","17.010","16.960","0.01K","-1.24%"
